simpleid,ID,CVCL,GDSC,CCLE,GNE,PharmacoGX_ID,SRR,EGAF,EGAN,gCSI_RNA
HS698T,Hs-698.T,CVCL_0855,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B01_542936,NA,NA,SRR8615779,NA,NA,NA
HS-69ST,Hs-69-ST,CVCL_0851,NA,NA,Unk139,NA,NA,NA,NA,NA
HS69ST,Hs-69ST,CVCL_0851,NA,NA,Unk518,NA,NA,NA,NA,587734_1
HS706T,Hs-706.T,CVCL_0863,NA,SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_D10_592860,NA,NA,SRR8615780,NA,NA,NA
HS729,Hs-729,CVCL_0871,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F10_464668,NA,Hs 729.T,SRR8615781,NA,NA,NA
HS737T,Hs-737.T,CVCL_0878,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A10_490440,NA,NA,SRR8615790,NA,NA,NA
HS739T,Hs-739.T,CVCL_0882,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D01_437282,NA,NA,SRR8615791,NA,NA,NA
HS742T,Hs-742.T,CVCL_0888,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E08_578426,NA,NA,SRR8615321,NA,NA,NA
HS746T,Hs-746T,CVCL_0333,Hs746T.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G06_437370,Unk76,Hs 746T,SRR8615322,NA,NA,587010_1
HS751T,Hs-751.T,CVCL_0891,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D05_578412,NA,NA,SRR8615319,NA,NA,NA
HS766T,Hs-766T,CVCL_0334,Hs766T.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A08_256016,Unk232,Hs 766T,SRR8615320,NA,NA,587697_1
HS819T,Hs-819.T,CVCL_0928,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H01_578274,NA,NA,SRR8615325,NA,NA,NA
HS821T,Hs-821.T,CVCL_0932,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E04_542932,NA,NA,SRR8615326,NA,NA,NA
HS822T,Hs-822.T,CVCL_0933,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A03_578306,NA,Hs 822.T,SRR8615323,NA,NA,NA
HS832CT,Hs-832(C).T,CVCL_0936,NA,NA,NA,NA,NA,NA,NA,NA
HS834T,Hs-834.T,CVCL_0938,NA,NA,NA,NA,SRR8615324,NA,NA,NA
HS839T,Hs-839.T,CVCL_0941,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D08_437512,Unk303,Hs 839.T,SRR8615327,NA,NA,636102_1
HS840T,Hs-840.T,CVCL_0942,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C11_437498,NA,NA,SRR8615328,NA,NA,NA
HS852T,Hs-852.T,CVCL_0950,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G01_698590,Unk127,Hs 852.T,SRR8615882,NA,NA,586994_1
HS863T,Hs-863.T,CVCL_0959,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A04_542844,NA,NA,SRR8615881,NA,NA,NA
HS870T,Hs-870.T,CVCL_0966,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D02_490432,NA,NA,SRR8615884,NA,NA,NA
HS888T,Hs-888.T,CVCL_0979,NA,NA,NA,NA,SRR8615883,NA,NA,NA
HS895T,Hs-895.T,CVCL_0993,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G12_464662,Unk275,Hs 895.T,SRR8615886,NA,NA,636155_1
HS934T,Hs-934.T,CVCL_1031,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F04_578402,NA,Hs 934.T,SRR8615885,NA,NA,NA
HS936T,Hs-936.T,CVCL_1033,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F09_437436,Unk131,Hs 936.T,SRR8615888,NA,NA,587003_1
HS939T,Hs-939.T,CVCL_1036,Hs939-T.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D10_437420,NA,Hs 939.T,SRR8615887,NA,NA,NA
HS940T,Hs-940.T,CVCL_1038,Hs940-T.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E09_578364,Unk140,Hs 940.T,SRR8615890,NA,NA,587735_1
HS944T,Hs-944.T,CVCL_1040,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A04_256008,NA,Hs 944.T,SRR8615889,NA,NA,NA
HSC2,HSC-2,CVCL_1287,HSC-2.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F11_437432,NA,HSC-2,SRR8616040,NA,NA,NA
HSC3,HSC-3,CVCL_1288,HSC-3.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_G02_437430,NA,HSC-3,SRR8616041,NA,NA,NA
HSC39,HSC-39,CVCL_A385,HSC-39.cel,NA,NA,HSC-39,NA,EGAF00000859728,EGAN00001266127,NA
HSC4,HSC-4,CVCL_1289,HSC-4.cel,SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_D02_592876,NA,HSC-4,SRR8616042,NA,NA,NA
HSSULTAN,HS-Sultan,CVCL_2516,NA,NA,Unk46,NA,NA,NA,NA,587615_1
HT,HT,CVCL_1290,HT.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G09_410942,Unk47,HT,SRR8615667,NA,NA,587616_1
HT1080,HT-1080,CVCL_0317,HT-1080.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E05_437252,Unk273,HT-1080,SRR8616043,NA,NA,636068_1
HT115,HT-115,CVCL_2520,HT-115.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G08_698736,Unk636,NA,SRR8616044,EGAF00000691959,EGAN00001202171,639159_1
HT1197,HT-1197,CVCL_1291,HT-1197.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D02_256076,NA,HT-1197,SRR8616045,NA,NA,NA
HT1376,HT-1376,CVCL_1292,HT-1376.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E03_256102,NA,HT-1376,SRR8616046,NA,NA,NA
HT144,HT-144,CVCL_0318,HT-144.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C10_437272,Unk39,HT-144,SRR8616047,NA,NA,587736_1
HT29,HT-29,CVCL_0320,HT-29.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B01_256026,Unk507,HT-29,SRR8616032,EGAF00000660866,EGAN00001202172,636436_1
HT3,HT-3,CVCL_1293,HT-3.cel,NA,NA,HT-3,NA,EGAF00000859729,EGAN00001266128,NA
HT55,HT55,CVCL_1294,HT55.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E12_698606,Unk589,HT-55,SRR8616033,EGAF00000691960,EGAN00001202173,636126_1
HTCC3,HTC-C3,CVCL_1295,HTC-C3.cel,NA,NA,HTC-C3,NA,EGAF00000824152,EGAN00001252855,NA
HTK,HTK-,CVCL_2522,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B09_578378,NA,NA,NA,NA,NA,NA
HUCCT1,HuCCT1,CVCL_0324,HuCCT1.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B07_437528,NA,HuCC-T1,SRR8615666,NA,NA,NA
HUG1N,HuG1-N,CVCL_4846,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C12_411034,NA,HuG1-N,SRR8615665,NA,NA,NA
HUH1,huH-1,CVCL_2956,huH-1.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G09_437360,Unk437,HuH-1,SRR8615664,NA,NA,636132_1
HUH28,HuH28,CVCL_2955,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G06_592642,NA,HuH-28,SRR8615663,NA,NA,NA
HUH6,HuH-6,CVCL_4381,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_D04_592756,NA,NA,SRR8615662,NA,EGAN00001266129,NA
HUH6CLONE5,HuH-6-Clone_5,CVCL_1296,HUH-6-clone5.CEL,NA,NA,NA,NA,EGAF00000859730,NA,NA
HUH7,HuH-7,CVCL_0336,HuH-7.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_H12_437494,Unk572,Huh-7,SRR8615661,NA,NA,636060_1
HUNS1,HuNS1,CVCL_2526,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A02_464620,NA,HuNS1,SRR8615660,NA,NA,NA
HUO3N1,HuO-3N1,CVCL_1297,HuO-3N1.cel,NA,NA,HuO-3N1,NA,EGAF00000765622,EGAN00001236663,NA
HUO9,HuO9,CVCL_1298,HuO9.cel,NA,NA,HuO9,NA,EGAF00000765623,EGAN00001236664,NA
HUPT3,HuP-T3,CVCL_1299,HuP-T3.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G01_293424,Unk233,HuP-T3,SRR8615669,NA,NA,587698_1
HUPT4,HuP-T4,CVCL_1300,HuP-T4.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B10_335230,Unk461,HuP-T4,SRR8615668,NA,NA,636000_1
HUT102,HuT-102,CVCL_3526,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D01_464554,NA,NA,SRR8615849,NA,NA,NA
HUT78,HuT-78,CVCL_0337,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D04_464548,NA,HuT 78,SRR8615850,NA,NA,NA
HUTU80,HuTu-80,CVCL_1301,HUTU-80.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B01_437540,NA,HuTu 80,SRR8615847,NA,NA,NA
HUVEC,HUVEC,CVCL_2959,NA,NA,NA,NA,NA,NA,NA,NA
IALM,IA-LM,CVCL_1302,IA-LM.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A01_437562,NA,IA-LM,SRR8615848,NA,NA,NA
IGR1,IGR-1,CVCL_1303,IGR-1.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C02_542918,NA,IGR-1,SRR8615845,NA,NA,NA
IGR37,IGR-37,CVCL_2075,IGR-37.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E07_256110,Unk474,IGR-37,SRR8615846,NA,NA,636848_1
IGR39,IGR-39,CVCL_2076,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A07_437336,NA,IGR-39,SRR8615843,NA,NA,NA
IGROV1,IGROV-1,CVCL_1304,IGROV-1.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C05_256058,Unk419,IGROV-1,SRR8615844,NA,NA,636076_1
IHH4,IHH-4,CVCL_2960,IHH-4.cel,NA,NA,IHH-4,NA,EGAF00000824153,EGAN00001252856,NA
IM9,IM-9,CVCL_1305,IM-9.cel,NA,NA,IM-9,NA,EGAF00000824154,EGAN00001252857,NA
IM95,IM-95,CVCL_2961,IM-95.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E10_256116,Unk93,IM95,SRR8615841,NA,NA,587027_1
IM95M,IM95m,CVCL_2962,NA,NA,Unk642,NA,NA,NA,NA,639155_1
IMR32,IMR-32,CVCL_0346,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C01_437320,Unk356,IMR-32,SRR8615842,NA,NA,636434_1
IMR5,IMR-5,CVCL_1306,IMR-5.cel,NA,NA,IMR-5,NA,EGAF00000859731,EGAN00001266130,NA
INA6,INA-6,CVCL_5209,NA,NA,NA,NA,SRR8615492,NA,NA,NA
IOMMLEE,IOMM_Lee,CVCL_5779,NA,NA,NA,NA,SRR8615491,NA,NA,NA
IPC298,IPC-298,CVCL_1307,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B06_246644,Unk101,IPC-298,SRR8615494,NA,NA,586995_1
ISHIKAWAHERAKLIO02ER,Ishikawa-(Heraklio)-02-ER-,CVCL_6543,Ishikawa_Heraklio_02ER-.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A01_293280,NA,Ishikawa (Heraklio) 02 ER-,SRR8615493,NA,NA,NA
ISTMEL1,IST-MEL1,CVCL_1308,IST-MEL1.cel,NA,NA,IST-MEL1,NA,EGAF00000824143,EGAN00001252838,NA
ISTMES1,IST-MES1,CVCL_1311,IST-MES1.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G11_464660,NA,IST-Mes1,SRR8615488,EGAF00000660867,EGAN00001202174,NA
ISTMES2,IST_MES2,CVCL_1312,NA,NA,NA,NA,SRR8615487,NA,NA,NA
ISTSL1,IST-SL1,CVCL_1313,IST-SL1.cel,NA,NA,IST-SL1,NA,EGAF00000765624,EGAN00001236665,NA
ISTSL2,IST-SL2,CVCL_1314,IST-SL2.cel,NA,NA,IST-SL2,NA,EGAF00000765625,EGAN00001236666,NA
J82,J82,CVCL_0359,J82.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G06_256156,NA,J82,SRR8615490,NA,NA,NA
JAR,JAR,CVCL_0360,JAR.cel,NA,NA,JAR,NA,EGAF00000859732,EGAN00001266131,NA
JEG3,JEG-3,CVCL_0363,JEG-3.cel,NA,NA,JEG-3,NA,EGAF00000859733,EGAN00001266132,NA
JEKO1,JeKo-1,CVCL_1865,JEKO-1.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G02_542842,Unk11,JeKo-1,SRR8615489,NA,NA,587617_1
JHESOAD1,JH-EsoAd1,CVCL_8098,NA,NA,NA,NA,SRR8615484,NA,NA,NA
JHH1,JHH-1,CVCL_2785,JHH-1.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E01_256098,Unk476,JHH-1,SRR8615483,NA,NA,636866_1
JHH2,JHH-2,CVCL_2786,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F03_256126,Unk574,JHH-2,SRR8615918,NA,NA,636061_1
JHH4,JHH-4,CVCL_2787,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E02_256100,Unk475,JHH-4,SRR8615919,NA,NA,636808_1
JHH5,JHH-5,CVCL_0364,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F05_256130,Unk294,JHH-5,SRR8615920,NA,NA,636794_1
JHH6,JHH-6,CVCL_2788,JHH-6.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G05_698646,NA,JHH-6,SRR8615921,NA,NA,NA
JHH7,JHH-7,CVCL_2805,JHH-7.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A12_437572,Unk296,JHH-7,SRR8615914,NA,NA,636062_1
JHOC5,JHOC-5,CVCL_4640,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_B04_592688,NA,JHOC-5,SRR8615915,NA,NA,NA
JHOM1,JHOM-1,CVCL_4644,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_D05_592802,NA,JHOM-1,SRR8615916,NA,NA,NA
JHOM2B,JHOM-2B,CVCL_4645,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C06_698576,NA,NA,SRR8615917,NA,NA,NA
JHOS2,JHOS-2,CVCL_4647,JHOS-2.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F04_410974,NA,JHOS-2,SRR8615922,NA,NA,NA
JHOS3,JHOS-3,CVCL_4648,JHOS-3.cel,NA,NA,JHOS-3,NA,EGAF00000859734,EGAN00001266133,NA
JHOS4,JHOS-4,CVCL_4649,JHOS-4.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D10_411016,NA,JHOS-4,SRR8615923,NA,NA,NA
JHU011,JHU-011,CVCL_5986,JHU-011.cel,NA,NA,JHU-011,NA,EGAF00000859735,EGAN00001266134,NA
JHU022,JHU-022,CVCL_5991,JHU-022.cel,NA,NA,JHU-022,NA,EGAF00000859736,EGAN00001266135,NA
JHU029,JHU-029,CVCL_5993,JHU-029.cel,NA,NA,JHU-029,NA,EGAF00000859737,EGAN00001266136,NA
JHUEM1,JHUEM-1,CVCL_4655,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C09_411044,NA,JHUEM-1,SRR8615554,NA,NA,NA
JHUEM2,JHUEM-2,CVCL_4656,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G04_293430,NA,JHUEM-2,SRR8615553,NA,NA,NA
JHUEM3,JHUEM-3,CVCL_4657,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B08_698712,NA,JHUEM-3,SRR8615552,NA,NA,NA
JHUEM7,JHUEM-7,CVCL_4658,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B10_293322,NA,JHUEM-7,SRR8615551,NA,NA,NA
JIMT1,JIMT-1,CVCL_2077,JIMT-1.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B07_490458,Unk177,JIMT-1,SRR8615558,NA,NA,587463_1
JIYOYE,Jiyoye,CVCL_1317,JiyoyeP-2003.cel,NA,Unk13,Jiyoye,NA,NA,EGAN00001266137,587618_1
JJ012,JJ012,CVCL_D605,NA,NA,Unk484,NA,NA,NA,NA,636856_1
JJN3,JJN-3,CVCL_2078,JJN-3.cel,NA,Unk270,JJN-3,SRR8615557,NA,NA,635601_1
JK1,JK-1,CVCL_2079,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H06_578324,NA,JK-1,SRR8615556,NA,NA,NA
JL1,JL-1,CVCL_2080,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_H01_698554,Unk614,JL-1,SRR8615555,NA,NA,639182_1
JM1,JM1,CVCL_3532,JM1.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G06_410956,NA,JM-1,SRR8615560,NA,NA,NA
JMSU1,JMSU-1,CVCL_2081,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H11_490344,NA,JMSU-1,SRR8615559,NA,NA,NA
JSC1,JSC-1,CVCL_3728,JSC-1.cel,NA,NA,JSC-1,NA,EGAF00000860146,EGAN00001266138,NA
JURKAT,Jurkat,CVCL_0065,Jurkat.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A07_490460,Unk364,Jurkat,SRR8615712,NA,NA,NA
JURKATCLONEE61,Jurkat_Clone_E6.1,CVCL_0367,NA,NA,NA,NA,NA,NA,NA,636116_1
JURLMK1,JURL-MK1,CVCL_2086,JURL-MK1.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H10_542870,NA,JURL-MK1,SRR8615713,NA,NA,NA
JVM2,JVM-2,CVCL_1319,JVM-2.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G09_578344,NA,JVM-2,SRR8615710,NA,NA,NA
JVM3,JVM-3,CVCL_1320,JVM-3.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D08_490438,NA,JVM-3,SRR8615711,NA,NA,NA
K029AX,K029AX,CVCL_8784,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B10_256044,NA,K029AX,SRR8615716,NA,NA,NA
K2,K2,CVCL_AT85,K2.cel,NA,NA,K2 [Human melanoma],NA,EGAF00000824144,EGAN00001252839,NA
K5,K5,CVCL_1322,K5.cel,NA,NA,K5,NA,EGAF00000824155,EGAN00001252858,NA
K562,K-562,CVCL_0004,K-562.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C01_246658,Unk366,K-562,SRR8615717,NA,NA,636855_1
KALS1,KALS-1,CVCL_1323,KALS-1.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C02_437550,NA,KALS-1,SRR8615714,NA,NA,NA
KARPAS1106P,KARPAS-1106P,CVCL_1821,KARPAS-1106P.cel,NA,Unk12,Karpas-1106P,NA,EGAF00000860147,EGAN00001266139,587619_1
KARPAS231,KARPAS-231,CVCL_1822,KARPAS-231.cel,NA,NA,Karpas-231,NA,EGAF00000860148,EGAN00001266140,NA
KARPAS299,KARPAS-299,CVCL_1324,KARPAS-299.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E06_246716,NA,Karpas-299,SRR8615715,NA,NA,NA
KARPAS422,Karpas-422,CVCL_1325,KARPAS-422.cel,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F04_780212,Unk14,Karpas-422,SRR8615704,NA,NA,587620_1
KARPAS45,KARPAS-45,CVCL_1326,KARPAS-45.cel,NA,NA,Karpas-45,NA,EGAF00000860149,EGAN00001266141,NA
KARPAS620,KARPAS-620,CVCL_1823,KARPAS-620.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E12_578358,Unk585,Karpas-620,SRR8615705,,EGAN00001280535,635973_1
KASUMI1,Kasumi-1,CVCL_0589,KASUMI-1.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D04_293358,Unk615,Kasumi-1,SRR8615361,NA,NA,639183_1
KASUMI2,KASUMI-2,CVCL_0590,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B09_698714,NA,Kasumi-2,SRR8615360,NA,NA,NA
KASUMI6,Kasumi-6,CVCL_0614,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A11_578462,NA,NA,SRR8615363,NA,NA,NA
KATOIII,Kato-III,CVCL_0371,KATOIII.cel,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C08_780362,Unk578,KATO III,SRR8615362,NA,NA,636145_1
KCIMOH1,KCI-MOH1,CVCL_2090,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E07_293388,Unk463,NA,NA,NA,NA,636001_1
KCL22,KCL-22,CVCL_2091,KCL-22.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G12_490398,NA,KCL-22,SRR8615365,NA,NA,NA
KD,KD,CVCL_U757,NA,NA,NA,NA,SRR8615364,NA,NA,NA
KE37,KE-37,CVCL_1327,KE-37.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A07_578392,NA,KE-37,SRR8615367,NA,NA,NA
KE39,KE-39,CVCL_3385,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D08_411020,NA,KE-39,SRR8615366,NA,NA,NA
KE97,KE-97,CVCL_3386,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D09_411018,NA,KE-97,SRR8615358,NA,NA,NA
KELLY,KELLY,CVCL_2092,KELLY.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C01_293328,Unk358,Kelly,SRR8615357,NA,NA,636188_1
KG1,KG-1,CVCL_0374,KG-1.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G11_410946,Unk135,KG-1,SRR8615910,NA,NA,587414_1
KG1C,KG-1-C,CVCL_2971,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G07_592682,NA,KG-1-C,SRR8615911,NA,NA,NA
KGN,KGN,CVCL_0375,KGN.cel,NA,NA,KGN,NA,EGAF00000860150,EGAN00001266142,NA
KHM1B,KHM-1B,CVCL_2972,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F12_437434,Unk365,KHM-1B,SRR8615913,NA,NA,637175_1
KIJK,Ki-JK,CVCL_2093,NA,SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_D12_592936,NA,Ki-JK,SRR8615912,NA,NA,NA
KINGS1,KINGS-1,CVCL_1328,KINGS-1.cel,NA,NA,KINGS-1,NA,EGAF00000860151,EGAN00001266143,NA
KLE,KLE,CVCL_1329,KLE.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A08_293294,Unk299,KLE,SRR8615907,NA,NA,636755_1
KLM1,KLM-1,CVCL_5146,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_F02_592702,Unk462,NA,NA,NA,NA,636002_1
KM12,KM-12,CVCL_1331,KM12.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D03_256078,Unk9,KM12,SRR8615906,NA,NA,587503_1
KMBC2,KMBC-2,CVCL_2977,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E05_437406,NA,KMBC-2,SRR8615909,NA,NA,NA
KMH2,KM-H2,CVCL_1330,KM-H2.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D01_578372,NA,KM-H2,SRR8615908,EGAF00000824156,EGAN00001252859,NA
KMM1,KMM-1,CVCL_2981,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_G07_437486,Unk385,KMM-1,SRR8615903,NA,NA,635602_1
KMOE2,KMOE-2,CVCL_1332,KMOE-2.cel,NA,NA,KMOE-2,NA,EGAF00000860152,EGAN00001266144,NA
KMRC1,KMRC-1,CVCL_2983,KMRC-1.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C11_256070,NA,KMRC-1,SRR8615902,NA,NA,NA
KMRC2,KMRC-2,CVCL_2984,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E08_256112,NA,KMRC-2,SRR8615356,NA,NA,NA
KMRC20,KMRC-20,CVCL_2986,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E01_437414,NA,KMRC-20,SRR8615355,NA,NA,NA
KMRC3,KMRC-3,CVCL_2985,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E04_464730,NA,KMRC-3,SRR8615353,NA,NA,NA
KMS11,KMS-11,CVCL_2989,KMS-11.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D07_437514,Unk387,KMS-11,SRR8615354,NA,NA,635603_1
KMS12BM,KMS-12-BM,CVCL_1334,KMS-12-BM.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C06_246668,Unk386,KMS-12-BM,SRR8615351,NA,NA,635604_1
KMS12PE,KMS-12-PE,CVCL_1333,NA,NA,Unk388,NA,NA,NA,NA,635605_1
KMS18,KMS-18,CVCL_A637,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E05_698630,NA,KMS-18,SRR8615352,NA,NA,NA
KMS20,KMS-20,CVCL_2990,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_G03_437424,NA,KMS-20,SRR8615349,NA,NA,NA
KMS21BM,KMS-21BM,CVCL_2991,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F05_410976,Unk283,KMS-21-BM,SRR8615350,NA,NA,635606_1
KMS26,KMS-26,CVCL_2992,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D07_411022,Unk363,KMS-26,SRR8615347,NA,NA,636854_1
KMS27,KMS-27,CVCL_2993,NA,NA,Unk584,KMS-27,SRR8615348,NA,NA,635607_1
KMS28BM,KMS-28BM,CVCL_2994,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G02_410964,Unk285,KMS-28BM,SRR8615942,NA,NA,635608_1
KMS28PE,KMS-28PE,CVCL_2995,NA,NA,Unk284,NA,NA,NA,NA,635609_1
KMS34,KMS-34,CVCL_2996,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H02_410940,Unk286,KMS-34,SRR8615941,NA,NA,635610_1
